supplier,code,description,brand,price,category
ACCO,34094,"ROLLOS NAPII 1,5 38X500 C2 3017457 CATENA 105 GBC",GBC,22222.222222222223,PLASTIFICACION SEMI INDUSTRIAL ROLLOS
ACCO,27771,CORCHETE 26-6 / CORCHETEA HASTA 20 HOJAS / PATA DE 6MM DE LARGO / ALAMBRE FLEXIBLE GALVANIZADO / BORDES AFILADOS / CAJA 1000 UNIDADES RAPID,RAPID,211.65966386554626,CORCHETE 26/6
ACCO,50565,GRIP ERGONOMICO PARA LAPIZ TILIBRA,TILIBRA,213.23529411764707,GRIP
ACCO,ACB27670,CLIP CAJA 100 UNIDADES METALICO ACCO 33MM ACCO,ACCO,222.24264705882354,CLIPS
ACCO,51507,STICKER DUPLO FEMININE 1HJ 316997 TILIBRA,TILIBRA,264.81617647058823,STICKER
ACCO,52004,PUNTERAS FUN 6 DISEÑOS TILIBRA,TILIBRA,286.764705882353,PUNTERA
ACCO,675,"DOBLE CLIP TAMAÑO: 19 MILIMETROS, PEQUEÑO, CAPACIDAD: HASTA 90 HOJAS. CAJA CON 12 UNIDADES. ACCO",ACCO,315.4411764705883,DOBLE CLIPS 19 MM
ACCO,50449,LIBRETA DE APUNTES LOVE PINK 60 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,360.2941176470588,LIBRETA APUNTES
ACCO,51962,LIBRETA DE APUNTES LUNIX 60 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,360.2941176470588,LIBRETA APUNTES
ACCO,51368,ETIQUETAS ADHESIVAS ACADEMIE COLORES 8 UNIDADES 100X208 TILIBRA,TILIBRA,378.3088235294117,ETIQUETAS
ACCO,51240,ETIQUETAS ADHESIVAS BLANCA 8 UNIDADES 100X208 TILIBRA,TILIBRA,378.3088235294117,ETIQUETAS
ACCO,51238,ETIQUETAS ADHESIVAS HIDE 8 UNIDADES 100X208 TILIBRA,TILIBRA,378.3088235294117,ETIQUETAS DISEÑOS 
ACCO,51234,ETIQUETAS ADHESIVAS LOVELAND 8 UNIDADES 100X208 TILIBRA,TILIBRA,378.3088235294117,ETIQUETAS DISEÑOS 
ACCO,51233,ETIQUETAS ADHESIVAS MAGIC 8 UNIDADES 100X208 TILIBRA,TILIBRA,378.3088235294117,ETIQUETAS DISEÑOS 
ACCO,51568,STICKER DUPLO BLINK 1HJ 306649 TILIBRA,TILIBRA,378.3088235294119,STICKER
ACCO,51567,STICKER DUPLO SOHO 1HJ 294837 TILIBRA,TILIBRA,378.3088235294119,STICKER
ACCO,51570,STICKER DUPLO WONDER 1HJ 294829 TILIBRA,TILIBRA,378.3088235294119,STICKER
ACCO,70212,SOBRE PLASTICO HORIZONTAL OFICIO 120FCH. (PVP UNITARIO) BARRILITO,BARRILITO,408.84375000000006,SOBRE PLASTICO
ACCO,30389,PQTE. ANILLO PLASTICO IBICO 38MM AZUL 10 UN. / CAPACIDAD 500 HOJAS GBC,GBC,423.3193277310925,ANILLO 38MM
ACCO,52012,GRIP ERGONOMICO PARA LAPIZ BIG TILIBRA,TILIBRA,433.82352941176475,GRIP
ACCO,70168,CARPETA CON COSTILLA COLOR CARTA QC310. (PVP UNITARIO) BARRILITO,BARRILITO,494.6691176470589,CARPETA CON COSTILLA
ACCO,70169,CARPETA CON COSTILLA COLOR OFICIO QO355.  (PVP UNITARIO) BARRILITO,BARRILITO,494.6691176470589,CARPETA CON COSTILLA
ACCO,70284,LUPA ESCOLAR PLASTICA | 10X17CMS | LENTE DE CRISTAL | 7X | 40MM | BLISTER |7629 BARRILITO,BARRILITO,566.3602941176472,LUPAS
ACCO,70205,"REPUESTO GOMA RETRACTICL |5 X 3,2 X 0,9 CMS |BOLSA CON 2 UNIDADES BARRILITO",BARRILITO,566.3602941176472,REPUESTO GOMA DE BORRAR
ACCO,51163,"PORTAMINAS 2,0 MM ULTRA TILIBRA",TILIBRA,580.8823529411765,PORTAMINAS
ACCO,27825,CORCHETES RAPID 23/6/ PATA DE 6MM DE LARGO / ALAMBRE SUPER REFORZADO GALVANIZADO / PATAS CON BORDES AFILADOS PARA MEJOR PERFORACION/ CORCHETEA DE20 HOJAS / CAJA 1000 UNIDADES / 24869100 / PARA CORCHETERA HD70 & HD110 -HD210 RAPID,RAPID,607.6680672268909,CORCHETE 23/6
ACCO,51431,STICKER DUPLO MAGIC 1HJ METAL 317136 TILIBRA,TILIBRA,609.9264705882354,STICKER
ACCO,51512,STICKER DUPLO TILIBRA 1HJ ALFAB 317179 TILIBRA,TILIBRA,609.9264705882354,STICKER
ACCO,51430,STICKER DUPLO WV 1HJ METAL 317110 TILIBRA,TILIBRA,609.9264705882354,STICKER
ACCO,51414,TACO CHECKLIST NEGRO TILIBRA,TILIBRA,609.9264705882354,TACOS
ACCO,51417,TACO CUADRICULADO NARANJA & BLANCO TILIBRA,TILIBRA,609.9264705882354,TACOS
ACCO,51415,TACO PAUTADO AMARILLO & LILA TILIBRA,TILIBRA,609.9264705882354,TACOS
ACCO,51416,TACO PUNTILLADO VERDE & ROSA TILIBRA,TILIBRA,609.9264705882354,TACOS
ACCO,51182,TIMBRES ANIMALITOS DISPLAY 24 UNIDADES TILIBRA,TILIBRA,609.9264705882354,TIMBRES
ACCO,51768,TIMBRES JARDIN DISPLAY 24 UNIDADES TILIBRA,TILIBRA,609.9264705882354,TIMBRES
ACCO,18665,CORCHETE ESTANDAR 26/6/ CONTIENE 5.000 PIEZAS SWINGLINE,SWINGLINE,675.9453781512607,CORCHETE 26/6
ACCO,26677,CORCHETE 23/6 / CAJA 1.000 UNIDADES / COMPATIBLE CON: CLAVADORA PURPOSE 26653 Y CLAVADORA VALUE 26655 REXEL,REXEL,694.0388655462186,CORCHETE 23/6
ACCO,676,"DOBLE CLIP TAMAÑO: 32 MILIMETROS, MEDIANO, CAPACIDAD: HASTA 140 HOJAS. CAJA CON 12 UNIDADES. ACCO",ACCO,709.7426470588236,DOBLE CLIPS 32 MM
ACCO,70011,CASCABELES ORO | BOLSA PARA COLGAR CON 30 UNIDADES  BARRILITO,BARRILITO,709.7426470588236,CASCABELES
ACCO,70012,CASCABELES PLATA  | BOLSA PARA COLGAR CON 30 UNIDADES BARRILITO,BARRILITO,709.7426470588236,CASCABELES
ACCO,70176,CORTAUÑAS BEBE METAL | BLISTER | 606A BARRILITO,BARRILITO,709.7426470588236,CORTAUÑAS
ACCO,70057,"LIMPIPAS COLOR TRADICIONAL| 0,6X30 CMS| BOLSA  30 UNIDADES | 5 COLORES BARRILITO",BARRILITO,709.7426470588236,LIMPIAPIPAS
ACCO,70056,"LIMPIPAS COLORBRILLANTE | 0,6X30 CMS| BOLSA 30 UNIDADES |5 COLORES BARRILITO",BARRILITO,709.7426470588236,LIMPIAPIPAS
ACCO,70066,OJOS MOVILES COLORES | BOLSA CON 66 UN | 5 COLORES SURTIDOS | 4 TAMAÑOS BARRILITO,BARRILITO,709.7426470588236,OJOS MOVILES
ACCO,70067,OJOS MOVILES NEGROS | BOLSA CON 66 UN |4 TAMAÑOS BARRILITO,BARRILITO,709.7426470588236,OJOS MOVILES
ACCO,70292,"PIEDRAS CON ADHESIVO CORAZONES | VARIEDAD DE TAMAÑOS Y COLORES | BOLSA DE 18,2 GRS  BARRILITO",BARRILITO,709.7426470588236,CONFETI
ACCO,70143,POMPOM MIX COLORES Y TAMAÑOS| BOLSA CON 78 UN | 3 TAMAÑOS DIFERENTES BARRILITO,BARRILITO,709.7426470588236,POMPONES
ACCO,26678,CORCHETE 23/8 / CAJA 1.000 UNIDADES / COMPATIBLE CON: CLAVADORA PURPOSE 26653 Y CLAVADORA VALUE 26655 REXEL,REXEL,723.2615546218489,CORCHETE 23/8
ACCO,51575,CUADERNO CORCHETEADO LINEAL 32 HOJAS HAPPY  TILIBRA,TILIBRA,727.9411764705882,CUADRENO CORCHETEADO 32 HOJAS
ACCO,51577,CUADERNO CORCHETEADO LINEAL 32 HOJAS SOHO TILIBRA,TILIBRA,727.9411764705882,CUADRENO CORCHETEADO 32 HOJAS
ACCO,51576,CUADERNO CORCHETEADO LINEAL 32 HOJAS WESTV TILIBRA,TILIBRA,727.9411764705882,CUADRENO CORCHETEADO 32 HOJAS
ACCO,51976,STICKER TILIDISCO 2 HOJAS TILIBRA,TILIBRA,727.9411764705882,ACCESORIOS CUADERNOS C/DISCO
ACCO,51969,STICKER TILIDISCO LOVELAND 2 HOJAS TILIBRA,TILIBRA,727.9411764705882,ACCESORIOS CUADERNOS C/DISCO
ACCO,51977,STICKER TILIDISCO NOTES 2 HOJAS TILIBRA,TILIBRA,727.9411764705882,ACCESORIOS CUADERNOS C/DISCO
ACCO,51970,STICKER TILIDISCO PURRFECT 2 HOJAS TILIBRA,TILIBRA,727.9411764705882,ACCESORIOS CUADERNOS C/DISCO
ACCO,27770,CORCHETE 26-6 / CORCHETEA HASTA 20 HOJAS / PATA DE 6MM DE LARGO / ALAMBRE FLEXIBLE GALVANIZADO / BORDES AFILADOS / CAJA 5000 UNIDADES RAPID,RAPID,744.2226890756301,CORCHETE 26/6
ACCO,27819,CORCHETES RAPID 23/8 /PATA DE 8MM DE LARGO / ALAMBRE SUPER REFORZADO GALVANIZADO / PATAS CON BORDES AFILADOS PARA MEJOR PERFORACION/ CORCHETEA DE 40 HOJAS / CAJA 1000 UNIDADES /  24869200 / PARA CORCHETERA HD70 & HD110 -HD210 RAPID,RAPID,744.2226890756301,CORCHETE 23/8
ACCO,51419,ETIQUETAS ADHESIVAS MULTIUSO RECTANGULAS METALIZADAS BLISTER TILIBRA,TILIBRA,764.3382352941176,ETIQUETAS
ACCO,51506,STICKER BLOCK SOHO 130S PLANNER 294845 TILIBRA,TILIBRA,764.3382352941176,STICKER
ACCO,27818,CORCHETES RAPID 23/10 /PATA DE 10MM DE LARGO / ALAMBRE SUPER REFORZADO GALVANIZADO / PATAS CON BORDES AFILADOS PARA MEJOR PERFORACION/ CORCHETEA DE 40 A 70 HOJAS / CAJA 1000 UNIDADES /  24869300 / PARA CORCHETERA HD70 &  HD110 -HD210 RAPID,RAPID,812.5,CORCHETE 23/10
ACCO,51383,MARCADOR 800 DUO AZUL TILIBRA,TILIBRA,841.5441176470586,MARCADORES
ACCO,51378,MARCADOR 800 DUO NEGRO TILIBRA,TILIBRA,841.5441176470586,MARCADORES
ACCO,70180,CORTAUÑAS MEDIANO METAL | CON CADENA | BLISTER | 8251AB BARRILITO,BARRILITO,853.1250000000001,CORTAUÑAS
ACCO,70179,CORTAUÑAS MEDIANO METAL CADENA LIMA 608A (EXHIBIDOR 12 UNIDADES )  BARRILITO,BARRILITO,853.1250000000001,CORTA UÑAS
ACCO,70058,LIMPIPAS DULCE | 0.4X31 CMS | BOLSA 15 UNDIADES | 5 COLORES BARRILITO,BARRILITO,853.1250000000001,LIMPIAPIPAS
ACCO,70065,OJOS MOVILES PESTAÑAS COLORES |  BOLSA CON 66 UN | 5 COLORES SURTIDOS | 4 TAMAÑOS BARRILITO,BARRILITO,853.1250000000001,OJOS MOVILES
ACCO,70275,STICKERS GOMA EVA FIGURAS DINOSAURIO | BOLSA PARA COLGAR CON 8 UN |SFD8784 BARRILITO,BARRILITO,853.1250000000001,STICKERS GOMA EVA
ACCO,70276,STICKERS GOMA EVA FIGURAS GRANJA | BOLSA CON 8 STICKERS BARRILITO,BARRILITO,853.1250000000001,STICKERS GOMA EVA
ACCO,70277,STICKERS GOMA EVA FIGURAS MAR| BOLSA  CON 13 STICKERS BARRILITO,BARRILITO,853.1250000000001,STICKERS GOMA EVA
ACCO,70278,STICKERS GOMA EVA FIGURAS TRANSPORTE | BOLSA CON 9 STICKERS BARRILITO,BARRILITO,853.1250000000001,STICKERS GOMA EVA
ACCO,70312,"TIJERA ESCOLAR DELTA D10 12.7CMS 5"" D10  BARRILITO",BARRILITO,471.1134453781514,TIJERA ESCOLAR
ACCO,26679,CORCHETE 23/10 / CAJA 1.000 UNIDADES / COMPATIBLE CON: CLAVADORA PURPOSE 26653 REXEL,REXEL,869.3750000000003,CORCHETE 23/10
ACCO,17109,CORCHETE 26/6 / CONTIENE 5.000 PIEZAS / COMPATIBLE CON: CORCHETERA ELECTRICA 20EX 27556 REXEL,REXEL,880.7773109243701,CORCHETE 26/6
ACCO,27822,CORCHETES RAPID 23/12 /PATA DE 12MM DE LARGO / ALAMBRE SUPER REFORZADO GALVANIZADO / PATAS CON BORDES AFILADOS PARA MEJOR PERFORACION/ CORCHETEA DE20 HOJAS / CAJA 1000 UNIDADES /  24869400 / PARA CORCHETERA  HD110- HD210 RAPID,RAPID,880.7773109243701,CORCHETE 23/12
ACCO,70068,PALITOS CILINDRIC CO 5X150MM 25U PM1505C BARRILITO,BARRILITO,880.7773109243701,PALITOS DE MADERA
ACCO,70215,SOBRE PLASTICO VERTICAL OFICIO 120FCV. (PVP UNITARIO) BARRILITO,BARRILITO,880.7773109243701,SOBRE PLASTICO
ACCO,70167,ACUARELA EN MEZCLADOR 12 COLORES | DIAMETRO PLASTILLA 2 CMS | INCLUYE 2 PINCELES PELO PLASTICO BARRILITO,BARRILITO,924.8161764705882,ACUARELAS
ACCO,70280,"CONFETI BABY SHOWER | 4 FIGURAS, MAMADERAS, BABIES, COCHES, PIES | COLORES: ROSA, CELESTE, BLANCO TURQUESA, AZUL, PASTEL | 4 BOLSAS CON 7 GRS C/U BARRILITO",BARRILITO,924.8161764705882,CONFETI
ACCO,70283,"CONFETI AMOR| SAN VALENTIN | 4 FIGURAS: CORAZON GRANDE, CORAZON COLORES, LOVE, LENTEJUELAS |4 BOLSAS 7 GRS C/U BARRILITO",BARRILITO,924.8161764705882,CONFETI
ACCO,70281,"CONFETI CUMPLEAÑOS| 4 FIGURAS: GLOBOS, PARTY, TORTA, REGALOS|6 COLORES SURTIDOS | 4 BOLSAS 7 GRS C/U BARRILITO",BARRILITO,924.8161764705882,CONFETI
ACCO,70282,"CONFETI MIX| 4 FIGURAS: ESTRELLAS, LUNAS , LENTEJUELAS, TRIANGULOS|6 COLORES SURTIDOS | 4 BOLSAS 7 GRS C/U BARRILITO",BARRILITO,924.8161764705882,CONFETI
ACCO,70294,"PALITOS PARA ARMAR | COLOR NATURAL | BOLSA  50 UN | 1 X 11,5 CMS BARRILITO",BARRILITO,924.8161764705882,PALITOS DE MADERA
ACCO,70140,PLUMAS MEDIANAS| BOLSA CON 60 UN | 6 COLORES SURTIDOS | TAMAÑOS SURTIDOS DE 11 A 15 CMS BARRILITO,BARRILITO,924.8161764705882,PLUMAS
ACCO,70214,SOBRE PLASTICO VERTICAL CARTA 115A4V. (PVP UNITARIO) BARRILITO,BARRILITO,924.8161764705882,SOBRE PLASTICO
ACCO,51357,"PORTAMINAS 0,5 MM SUMMER TILIBRA",TILIBRA,948.5294117647061,PORTAMINAS
ACCO,51164,"PORTAMINAS 0,7 MM LUNIX TILIBRA",TILIBRA,948.5294117647061,PORTAMINAS
ACCO,51162,"PORTAMINAS 0,7 MM MIND TILIBRA",TILIBRA,948.5294117647061,PORTAMINAS
ACCO,27821,CORCHETES RAPID 23/14 /PATA DE 14MM DE LARGO / ALAMBRE SUPER REFORZADO GALVANIZADO / PATAS CON BORDES AFILADOS PARA MEJOR PERFORACION/ CORCHETEA DE 80 A 110 HOJAS / CAJA 1000 UNIDADES /  24869500 / PARA CORCHETERA HD110 & HD210 RAPID,RAPID,949.0546218487397,CORCHETE 23/14
ACCO,51421,MARCA PAGINA MAGNETICO GYPSY 2 UNIDADES BLISTER TILIBRA,TILIBRA,995.955882352941,MARCA PAGINAS
ACCO,51410,MARCA PAGINA MAGNETICO JUNGLE HEART 2 UNIDADES BLISTER TILIBRA,TILIBRA,995.955882352941,MARCA PAGINAS
ACCO,70085,PELICULA AUTOADHERIBLE ( FORRO ADHESIVO) REMOVIBLE |0.45X2M | 50 MICRONES |7002 BARRILITO,BARRILITO,996.5073529411764,FORRO ADHESIVO
ACCO,70272,"TIJERA ESCOLAR DELTA| PUNTA ROMA |12,7 CMS(5"") |HOJAS DE ACERO INOX | MANGOS PLASTICOS ERGONOMICOS | 4 COLORES | BLISTER BARRILITO",BARRILITO,494.6691176470589,TIJERA ESCOLAR
ACCO,70295,"PALITOS PARA ARMAR | COLORES  | BOLSA  50 UN | 1 X 11,5 CMS BARRILITO",BARRILITO,996.5073529411768,PALITOS DE MADERA
ACCO,27823,CORCHETES RAPID 23/15 /PATA DE 15MM DE LARGO / ALAMBRE SUPER REFORZADO GALVANIZADO / PATAS CON BORDES AFILADOS PARA MEJOR PERFORACION/ CORCHETEA DE20 HOJAS / CAJA 1000 UNIDADES /  24869600 / PARA CORCHETERA HD110 & HD210 RAPID,RAPID,1017.3319327731092,CORCHETE 23/15
ACCO,51151,LIBRETA 1/8 HAPPY  80 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,1022.0588235294116,LIBRETA 1/8
ACCO,50387,LIBRETA 1/8 LE VANILLE 80 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,1022.0588235294116,LIBRETA 1/8
ACCO,50511,LIBRETA 1/8 MAGIC 80 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,1022.0588235294116,LIBRETA 1/8
ACCO,51149,LIBRETA 1/8 SOHO 80 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,1022.0588235294116,LIBRETA 1/8
ACCO,51150,LIBRETA 1/8 WEST VILLAGE 80 HOJAS LINEALES 56 GRAMAJE TILIBRA,TILIBRA,1022.0588235294116,LIBRETA 1/8
ACCO,70166,ACUARELAS 12 COLORES | PASTILLA DIAMETRO 3 CMS | INCLUYE PINCEL SINTETICO BARRILITO,BARRILITO,1068.1985294117646,ACUARELAS
ACCO,70001,BARRA DE SILICONA   7MMX 20 CMS | BOLSA CON 10 BARRAS  BARRILITO,BARRILITO,1068.1985294117646,BARRA SILICONA
ACCO,70178,CORTAUÑAS GRANDE METAL |CON LIMA | BLISTER | 610AB  BARRILITO,BARRILITO,1068.1985294117646,CORTAUÑAS
ACCO,70189,"JUEGO DE GEOMETRIA ESCOLAR|  5  PIEZAS; REGLA 30 CMS, ESCUADRA 30°-60°, ESCUADRA 45°, TRANSPORTADOR 180°, COMPAS BARRILITO",BARRILITO,1068.1985294117646,SET DE GEOMETRIA
ACCO,70301,OJOS MOVILES NEGROS CON ADHESIVO | 3 TAMAÑOS | BOLSA CON 72 UN BARRILITO,BARRILITO,1068.1985294117646,OJOS MOVILES
ACCO,70141,PLUMAS GRANDES| BOLSA CON 24 UN | 6 COLORES SURTIDOS | TAMAÑOS SURTIDOS DE 16 A 23 CMS BARRILITO,BARRILITO,1068.1985294117646,PLUMAS
ACCO,70311,"TIJERA ESCOLAR DELTA D05 12.7CMS 5"" D05 / ERGONOMICA BARRILITO",BARRILITO,539.390756302521,TIJERA ESCOLAR
ACCO,70071,PALITOS PLANOS 11.5X1CMS 60 UN BARRILITO,BARRILITO,1139.889705882353,PALOS DE HELADO
ACCO,70072,"PALITOS PLANOS 14,4X1CMS COLORES 150 UN BARRILITO",BARRILITO,1139.889705882353,PALOS DE HELADO
ACCO,70073,"PALITOS PLANOS 7,5X0,7CMS COL 150 UN BARRILITO",BARRILITO,1139.889705882353,PALOS DE HELADO
ACCO,52001,CINTA CORRECTORA 5M CLASSIC BLISTER TILIBRA,TILIBRA,1150.3676470588232,CINTA CORRECTORA
ACCO,52000,CINTA CORRECTORA 5M ROSA BLISTER TILIBRA,TILIBRA,1150.3676470588232,CINTA CORRECTORA
ACCO,1200001,TILIDISCO UNIVERSITARIO HIDE 160 HOJAS 10 MATERIA TILIBRA,TILIBRA,1162.3205983424298,CUADERNO CON DISCOS
ACCO,70063,MICROPINZAS ROPA COLORES | BOLSA 45 UNIDADES| 6 COLORES BARRILITO,BARRILITO,1211.5808823529412,PERRITOS DE MADERA
ACCO,70064,MICROPINZAS ROPA NATURAL| BOLSA 45 UNIDADES BARRILITO,BARRILITO,1211.5808823529412,PERRITOS DE MADERA
ACCO,70159,"TIJERA ESCOLAR| PUNTA ROMA| 12,7 CMS (5"")| HOJAS DE ACERO INOX |MANGO PLASTICO ERGONOMICO| 6 COLORES |BLISTER BARRILITO",BARRILITO,566.3602941176472,TIJERA ESCOLAR
ACCO,70165,TIMBRE NUMERADOR TIPOG 4MM 6DIG 843 BARRILITO,BARRILITO,1211.5808823529412,TIMBRES
ACCO,50530,CALENDARIO MENSUAL CON PARANTE 12 HOJAS SOHO TILIBRA,TILIBRA,1242.6470588235293,AGENDAS & PLANNERS
ACCO,50457,"PORTAMINAS 0,5 MM I-POINT TILIBRA",TILIBRA,1242.6470588235293,PORTAMINAS
ACCO,50462,"PORTAMINAS 0,7 MM I-POINT TILIBRA",TILIBRA,1242.6470588235293,PORTAMINAS
ACCO,70024,CUENTAS DE COLORES  | BOLSA PARA COLGAR 300 UNIDADES |8 COLORES BARRILITO,BARRILITO,1283.2720588235293,CUENTAS DE COLORES
ACCO,70090,PERLAS PLASTICAS| BOLSA PARA COLGAR40 GRS |  8 MM CADA UNA CON PERFORACION BARRILITO,BARRILITO,1283.2720588235293,PERLAS
ACCO,50459,"PORTAMINAS 0,7 I-POINT NEON COL S 290459 TILIBRA",TILIBRA,1304.6250000000005,PORTAMINAS
ACCO,51425,STICKER BLOCK WV 130S+12C METAL 316971 TILIBRA,TILIBRA,1304.7794117647059,STICKER
ACCO,51742,LIBRETA 1/8 NEON NEGRA 80 HOJAS BLANCAS 63 GRAMAJE TILIBRA,TILIBRA,1316.1764705882351,LIBRETA 1/8
ACCO,50798,"PORTAMINAS 0,9 MM I-POINT TILIBRA",TILIBRA,1316.1764705882351,PORTAMINAS
ACCO,50564,"PORTAMINAS 0,9 MM NEON TILIBRA",TILIBRA,1316.1764705882351,PORTAMINAS
ACCO,31367,PQTE. POUCHE  OFICIO / 5MIL (125 MIC) / 229X368 MM / 5UNID GBC,GBC,1358.7184873949582,POUCHE OFICIO 125 MIC
ACCO,50792,CINTA ADHESI GLITTER 15X10MM DP24 315834 TILIBRA,TILIBRA,1381.985294117647,CINTA ADHESIVA GLITTER
ACCO,51720,CINTA CORRECTORA 5M DOODLES BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,51721,CINTA CORRECTORA 5M GYPSY BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,50788,CINTA CORRECTORA 5M HAPPY BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,51722,CINTA CORRECTORA 5M LOVELY FRIEND BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,51379,CINTA CORRECTORA 5M LUNIX BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,50566,CINTA CORRECTORA 5M NUBE ROSA BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,51723,CINTA CORRECTORA 5M SOHO BLISTER TILIBRA,TILIBRA,1381.985294117647,CINTA CORRECTORA
ACCO,51384,MARCADOR DUO SURT LUNIX TILIBRA,TILIBRA,1381.985294117647,MARCADORES
ACCO,51714,"WASHI TAPE 3 DISEÑOS PATITAS, ZIG ZAG Y LUNARES BLISTER TILIBRA",TILIBRA,1381.985294117647,WASHI TAPE
ACCO,51181,"WASHI TAPE ASTRAL, CACTUS Y BANDERITAS BLISTER TILIBRA",TILIBRA,1381.985294117647,WASHI TAPE
ACCO,50567,"WASHI TAPE CORAZ0NES, COMIDA Y ESTRELLAS BLISTER TILIBRA",TILIBRA,1381.985294117647,WASHI TAPE
ACCO,70003,"BARRA DE SILICONA CON GLITTER 7MM X 20 CMS | BOLSA CON 10 BARRAS (AZ, VE,RO,ORO, PLATA) BARRILITO",BARRILITO,1426.6544117647059,BARRA SILICONA
ACCO,70086,PELICULA AUTOADHERIBLE (FORRO ADHESIVO) REMOVIBLE | 0.45X3M| 50 MICRONES | 7003 BARRILITO,BARRILITO,1426.6544117647059,FORRO ADHESIVO
